project_id,ngo_id,staff_id,name,description,start_date,end_date,budget
54,1,218,Sports for Youth Phase 1,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2019-05-11,2022-09-11,84533949
55,5,25,Malaria Prevention Phase 1,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2019-07-28,2021-05-28,62793704
56,6,49,Reforestation Campaign Phase 1,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2023-01-05,2023-10-05,96165783
57,4,372,Family Planning Education Phase 1,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2018-05-02,2020-09-02,32591261
58,13,204,Library Modernization Phase 1,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2021-10-16,2025-01-16,52019699
59,10,341,Crisis Intervention Phase 1,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2021-11-26,2024-04-26,81264497
60,14,366,Gender Equality Advocacy Phase 1,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-08-09,2022-06-09,43928692
61,1,108,Public Health Screening Phase 1,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2022-04-01,2024-09-01,54593564
62,3,48,Disaster Preparedness Phase 1,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-03-17,2025-07-17,24223997
63,20,25,Scholarship Program Phase 1,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2018-10-02,2021-03-02,49866993
64,7,176,Trade Skills Development Phase 1,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-10-04,2023-01-04,55479235
65,2,371,Urban Agriculture Phase 1,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2020-10-22,2021-10-22,57041737
66,13,273,Transparency Initiative Phase 1,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2020-11-03,2022-06-03,82095774
67,18,221,Gender Equality Advocacy Phase 1,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-07-04,2025-10-04,92115935
68,10,161,Elderly Care Services Phase 1,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-06-24,2019-10-24,27558939
69,7,81,Public Health Screening Phase 1,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2021-10-28,2023-08-28,51488177
70,15,50,Blood Donation Campaign Phase 1,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2020-05-10,2022-09-10,11740120
71,14,147,Anti-Corruption Advocacy Phase 1,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2018-06-21,2019-07-21,7969984
72,12,216,Immigration Support Phase 1,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2021-04-22,2024-06-22,98124859
73,8,361,Child Nutrition Enhancement Phase 1,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2022-07-01,2025-06-01,69839305
74,16,91,Public Health Screening Phase 1,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2019-06-14,2020-02-14,39045953
75,7,199,Cultural Heritage Preservation Phase 1,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2021-05-18,2022-08-18,47322599
76,8,360,Scholarship Program Phase 1,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2018-04-21,2018-10-21,59662362
77,20,300,Solar Energy Installation Phase 1,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2024-08-01,2027-03-01,53452851
78,14,290,Reforestation Campaign Phase 1,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2019-09-01,2021-10-01,91360586
79,4,7,Clean Water Access Initiative Phase 1,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2024-09-03,2025-04-03,52669466
80,5,158,Neighborhood Safety Phase 1,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2021-08-04,2022-11-04,26709475
81,16,144,Sports for Youth Phase 1,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2020-07-28,2022-09-28,3393410
82,6,152,Scholarship Program Phase 1,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2022-10-24,2024-12-24,86119059
83,8,1,School Renovation Campaign Phase 1,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-12-08,2027-05-08,45536667
84,5,196,Mental Health Awareness Phase 1,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2018-08-01,2020-09-01,50078440
85,12,7,Trade Skills Development Phase 1,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2023-06-05,2026-09-05,92046914
86,13,319,Voter Education Campaign Phase 1,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2024-09-17,2025-07-17,59269947
87,2,302,Food Security Enhancement Phase 1,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2023-07-13,2026-07-13,10093512
88,15,199,Trade Skills Development Phase 1,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2018-02-06,2020-09-06,6330576
89,9,338,Library Modernization Phase 1,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2020-04-03,2022-03-03,3077074
90,9,318,Solar Panel Distribution Phase 1,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2018-11-25,2020-05-25,37793301
91,14,90,Legal Aid Services Phase 1,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2023-02-08,2025-04-08,94879271
92,20,256,Child Nutrition Enhancement Phase 1,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2023-03-03,2026-08-03,76032094
93,11,105,Child Protection Services Phase 1,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2023-10-04,2025-08-04,37895684
94,18,129,Community Garden Development Phase 1,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-08-19,2021-10-19,17722541
95,3,298,Rural Healthcare Expansion Phase 1,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2024-03-24,2027-05-24,44235183
96,18,266,Gender Equality Advocacy Phase 1,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2019-11-05,2020-11-05,89155481
97,3,119,Clean Water Access Initiative Phase 1,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-01-02,2025-12-02,67153062
98,20,144,Gender Equality Advocacy Phase 1,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2018-07-26,2020-09-26,35895989
99,5,74,Anti-Corruption Advocacy Phase 1,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2018-12-10,2020-08-10,64483443
100,14,322,Malaria Prevention Phase 2,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2023-02-02,2025-04-02,77235385
101,14,182,Voter Education Campaign Phase 2,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-07-27,2025-09-27,84227891
102,6,29,Music Education for Children Phase 2,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2024-08-16,2025-08-16,21133762
103,7,240,Digital Literacy Training Phase 2,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2021-02-16,2022-08-16,46184917
104,9,322,Community Garden Development Phase 2,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2020-01-16,2023-06-16,15349776
105,13,211,Malaria Prevention Phase 2,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2018-03-13,2020-11-13,45938169
106,18,341,Neighborhood Safety Phase 2,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2024-08-16,2027-10-16,94887848
107,6,145,Digital Literacy Training Phase 2,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2023-06-19,2025-10-19,9948977
108,5,172,Youth Leadership Development Phase 2,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2020-08-24,2023-08-24,51317860
109,6,234,Maternal Health Improvement Phase 2,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2022-12-11,2023-09-11,99069960
110,5,133,Mental Health Awareness Phase 2,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-08-12,2023-03-12,3840470
111,11,164,Microfinance for Entrepreneurs Phase 2,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2023-06-18,2025-04-18,82512542
112,7,135,Digital Literacy Training Phase 2,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2022-06-24,2025-03-24,64634539
113,13,226,Public Health Screening Phase 2,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2024-07-12,2025-09-12,58068193
114,13,131,School Renovation Campaign Phase 2,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2020-10-13,2023-10-13,61739741
115,18,224,Housing for Homeless Phase 2,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2021-08-22,2023-08-22,97362950
116,3,213,Legal Aid Services Phase 2,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2023-01-02,2024-10-02,47399335
117,19,299,Animal Shelter Expansion Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2023-04-20,2025-02-20,57967160
118,17,87,Cultural Heritage Preservation Phase 2,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2023-07-15,2026-03-15,51241915
119,7,211,Vocational Skills Training Phase 2,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-01-21,2024-01-21,21263031
120,14,217,Music Education for Children Phase 2,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2021-09-13,2024-01-13,24959977
121,15,232,Food Security Enhancement Phase 2,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2021-10-02,2023-12-02,34718817
122,20,45,Microfinance for Entrepreneurs Phase 2,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2021-09-17,2022-03-17,29690055
123,17,361,Reforestation Campaign Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2020-09-28,2023-12-28,48677332
124,10,113,Solar Energy Installation Phase 2,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2023-01-18,2024-05-18,80451830
125,9,63,Blood Donation Campaign Phase 2,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2021-04-20,2024-02-20,94390166
126,8,309,Library Modernization Phase 2,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2023-09-10,2025-09-10,34619377
127,17,332,Transparency Initiative Phase 2,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2024-01-06,2025-11-06,8132212
128,20,204,Women's Economic Empowerment Phase 2,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2020-06-03,2021-07-03,90214289
129,18,166,Malaria Prevention Phase 2,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2019-12-10,2020-08-10,88865678
130,6,27,Clean Water Access Initiative Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2020-03-18,2022-08-18,11736821
131,6,346,Child Nutrition Enhancement Phase 2,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2019-02-09,2021-07-09,67958811
132,6,22,Anti-Corruption Advocacy Phase 2,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2024-09-27,2027-02-27,18464867
133,11,395,Cultural Heritage Preservation Phase 2,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2023-10-06,2026-04-06,35569231
134,4,99,Immigration Support Phase 2,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2023-04-24,2026-01-24,93565578
135,16,177,Scholarship Program Phase 2,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2024-02-04,2024-09-04,15374927
136,13,246,Digital Literacy Training Phase 2,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2018-05-15,2020-06-15,74623671
137,7,285,Crisis Intervention Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2018-11-10,2021-03-10,65127660
138,19,313,School Renovation Campaign Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2022-03-12,2023-02-12,8401404
139,5,270,Scholarship Program Phase 2,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2021-05-01,2022-09-01,48815573
140,18,79,Climate Change Adaptation Phase 2,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2018-03-19,2020-06-19,13695216
141,17,335,Urban Agriculture Phase 2,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2022-04-16,2022-11-16,33183248
142,20,154,Library Modernization Phase 2,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2020-06-03,2021-04-03,80593604
143,14,118,Blood Donation Campaign Phase 2,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-09-21,2020-12-21,4440991
144,5,219,Emergency Relief Response Phase 2,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2022-08-06,2025-08-06,93579332
145,6,316,Crisis Intervention Phase 2,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2024-02-03,2024-12-03,70464342
146,18,259,Family Planning Education Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2023-10-10,2025-04-10,4185600
147,20,180,Solar Energy Installation Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2018-10-18,2020-03-18,13901995
148,13,68,Vocational Skills Training Phase 2,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-05-06,2023-07-06,28336133
149,6,140,Rural Healthcare Expansion Phase 2,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2024-06-09,2026-07-09,12840907
150,15,340,Climate Change Adaptation Phase 3,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2019-05-12,2022-08-12,76218134
151,19,161,Anti-Corruption Advocacy Phase 3,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-02-24,2020-01-24,23681403
152,9,142,Public Health Screening Phase 3,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2020-08-16,2023-03-16,35482026
153,20,286,Financial Literacy Training Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2022-06-06,2024-03-06,79194036
154,15,391,Disability Support Services Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-02-13,2027-06-13,87526005
155,19,326,Sports for Youth Phase 3,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2021-08-12,2023-04-12,52735339
156,14,314,Microfinance for Entrepreneurs Phase 3,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2018-07-07,2020-10-07,24101875
157,20,88,Agricultural Technology Training Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2019-06-13,2021-01-13,35219367
158,15,331,Transparency Initiative Phase 3,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2024-12-15,2027-02-15,73865699
159,12,85,School Renovation Campaign Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2019-10-22,2022-03-22,35452984
160,20,268,Agricultural Technology Training Phase 3,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2020-11-24,2022-02-24,46700023
161,16,123,Immigration Support Phase 3,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-05-04,2022-09-04,58009810
162,11,376,Family Planning Education Phase 3,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-04-14,2021-07-14,48314656
163,9,159,Women's Economic Empowerment Phase 3,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2023-04-12,2025-08-12,70349405
164,14,159,Housing for Homeless Phase 3,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2020-04-12,2023-04-12,73917221
165,17,54,Music Education for Children Phase 3,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-04-21,2022-02-21,97601720
166,1,129,Financial Literacy Training Phase 3,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2021-06-15,2021-12-15,79660190
167,2,127,TB Prevention Program Phase 3,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-05-21,2022-09-21,64996426
168,17,157,Animal Shelter Expansion Phase 3,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2024-04-01,2026-06-01,71596203
169,16,278,Solar Panel Distribution Phase 3,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2020-10-22,2022-01-22,97411322
170,20,204,Urban Agriculture Phase 3,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2023-01-13,2025-02-13,91202218
171,8,36,Anti-Corruption Advocacy Phase 3,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2018-04-02,2019-02-02,97720562
172,13,269,Cultural Heritage Preservation Phase 3,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2021-06-02,2023-11-02,29157583
173,17,218,Women's Economic Empowerment Phase 3,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2022-10-20,2025-01-20,63599698
174,13,21,School Renovation Campaign Phase 3,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2023-10-27,2025-03-27,41088982
175,16,41,Emergency Relief Response Phase 3,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2022-12-25,2024-07-25,15609705
176,1,344,Food Security Enhancement Phase 3,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2023-09-09,2026-12-09,63463324
177,14,91,Blood Donation Campaign Phase 3,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2019-01-22,2021-04-22,27700149
