event_id,project_id,name,event_date,location,description
16,66,Legal Aid Clinic,2020-08-13,"Sports Complex, Shymkent","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
17,55,Youth Leadership Summit,2022-02-13,"Conference Hall, Aktau","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
18,286,Food Distribution,2024-06-15,"University Auditorium, Petropavl","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
19,174,Children's Day Celebration,2021-01-04,"University Auditorium, Kostanay","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
20,248,Environmental Film Screening,2022-10-03,"University Auditorium, Taraz","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
21,72,Environmental Film Screening,2024-03-27,"Convention Center, Atyrau","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
22,111,Charity Concert,2020-06-16,"University Auditorium, Astana","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
23,79,Legal Aid Clinic,2021-09-08,"Conference Hall, Pavlodar","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
24,123,Career Fair,2022-04-02,"Convention Center, Shymkent","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
25,36,Food Distribution,2022-07-08,"Town Square, Oskemen","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
26,256,Scholarship Award Ceremony,2021-06-17,"NGO Office, Almaty","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
27,259,Youth Leadership Summit,2022-02-07,"Public Park, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
28,93,Entrepreneurship Workshop,2021-11-16,"Community Center, Petropavl","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
29,8,Career Fair,2023-03-17,"Community Center, Aktobe","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
30,60,Art Exhibition,2023-03-05,"Public Park, Kyzylorda","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
31,162,Community Health Fair,2021-01-17,"University Auditorium, Semey","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
32,59,Skills Training Session,2022-11-12,"NGO Office, Oskemen","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
33,128,Vaccination Campaign,2024-03-05,"Convention Center, Almaty","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
34,206,Scholarship Award Ceremony,2020-01-08,"Convention Center, Karaganda","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
35,235,Technology Workshop,2021-04-19,"Town Square, Shymkent","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
36,75,First Aid Training,2023-12-09,"Cultural Center, Almaty","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
37,69,Volunteer Orientation,2020-03-08,"Town Square, Pavlodar","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
38,273,Environmental Clean-Up,2022-01-17,"Public Park, Taraz","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
39,233,Food Distribution,2024-08-16,"Conference Hall, Shymkent","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
40,73,Disaster Preparedness Drill,2020-07-07,"Community Center, Semey","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
41,272,Environmental Film Screening,2023-11-19,"Public Park, Oskemen","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
42,94,Volunteer Orientation,2020-06-16,"Community Center, Karaganda","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
43,126,Agricultural Training,2023-05-21,"NGO Office, Karaganda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
44,41,Public Health Lecture,2021-09-06,"City Hall, Atyrau","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
45,290,Disaster Preparedness Drill,2023-09-11,"Convention Center, Kyzylorda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
46,268,Art Exhibition,2020-09-20,"NGO Office, Pavlodar","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
47,238,Women's Empowerment Conference,2023-07-11,"Public Park, Aktau","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
48,238,Children's Day Celebration,2024-12-15,"Cultural Center, Oskemen","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
49,230,Entrepreneurship Workshop,2024-07-08,"Public Park, Kyzylorda","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
50,41,Agricultural Training,2024-09-25,"Convention Center, Astana","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
51,233,Blood Donation Drive,2022-02-07,"Conference Hall, Kostanay","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
52,214,Sports Tournament,2022-02-14,"Town Square, Aktau","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
53,196,Food Distribution,2022-05-17,"Town Square, Aktobe","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
54,262,Cultural Festival,2020-12-28,"Conference Hall, Aktobe","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
55,189,Disaster Preparedness Drill,2022-01-05,"Town Square, Almaty","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
56,197,First Aid Training,2022-02-06,"Cultural Center, Aktobe","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
57,47,Women's Empowerment Conference,2021-12-14,"Town Square, Taraz","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
58,256,Public Health Lecture,2024-09-21,"Community Center, Kostanay","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
59,258,Environmental Film Screening,2022-08-15,"Town Square, Aktau","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
60,129,Technology Workshop,2024-04-03,"Conference Hall, Karaganda","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
61,120,Tree Planting Campaign,2020-07-25,"Sports Complex, Shymkent","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
62,7,Skills Training Session,2020-09-09,"Community Center, Atyrau","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
63,195,Public Health Lecture,2024-05-11,"Town Square, Petropavl","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
64,198,Disaster Preparedness Drill,2023-05-11,"Cultural Center, Aktau","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
65,178,Technology Workshop,2022-11-10,"Conference Hall, Pavlodar","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
66,136,Community Health Fair,2021-04-25,"Town Square, Aktobe","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
67,58,Community Health Fair,2024-11-10,"Public Park, Oral","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
68,244,Food Distribution,2024-02-10,"City Hall, Aktobe","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
69,107,Tree Planting Campaign,2022-06-14,"Town Square, Pavlodar","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
70,55,First Aid Training,2020-07-03,"Conference Hall, Taraz","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
71,298,Agricultural Training,2022-05-08,"Community Center, Karaganda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
72,177,Children's Day Celebration,2021-11-23,"Convention Center, Petropavl","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
73,26,Environmental Clean-Up,2022-01-26,"Town Square, Kostanay","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
74,236,Technology Workshop,2022-11-06,"University Auditorium, Atyrau","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
75,191,Emergency Response Training,2023-07-23,"University Auditorium, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
76,285,Food Distribution,2023-10-23,"Town Square, Oral","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
77,14,Children's Day Celebration,2022-02-28,"Sports Complex, Petropavl","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
78,240,Children's Day Celebration,2022-06-27,"Cultural Center, Atyrau","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
79,190,First Aid Training,2020-01-06,"University Auditorium, Kostanay","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
80,240,Fundraising Gala,2021-12-04,"Convention Center, Shymkent","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
81,121,Art Exhibition,2024-10-16,"University Auditorium, Oral","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
82,126,School Supply Distribution,2020-02-04,"NGO Office, Pavlodar","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
83,246,Youth Leadership Summit,2024-03-25,"Convention Center, Atyrau","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
84,283,Scholarship Award Ceremony,2021-11-26,"Conference Hall, Kostanay","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
85,169,School Supply Distribution,2024-09-13,"Town Square, Petropavl","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
86,235,Blood Donation Drive,2023-07-21,"University Auditorium, Oskemen","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
87,163,Volunteer Orientation,2021-10-19,"City Hall, Aktau","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
88,31,Technology Workshop,2021-10-13,"University Auditorium, Astana","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
89,2,Environmental Clean-Up,2024-11-22,"Convention Center, Oral","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
90,32,Financial Literacy Seminar,2022-04-09,"Town Square, Aktau","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
91,240,School Supply Distribution,2022-12-28,"NGO Office, Taraz","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
92,188,Children's Day Celebration,2021-11-27,"University Auditorium, Karaganda","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
93,269,Town Hall Meeting,2024-03-01,"NGO Office, Aktau","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
94,90,Disaster Preparedness Drill,2021-05-03,"NGO Office, Shymkent","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
95,250,Family Planning Seminar,2023-10-20,"Convention Center, Astana","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
96,69,Technology Workshop,2020-03-18,"Convention Center, Karaganda","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
97,25,Mental Health Workshop,2021-03-01,"Conference Hall, Taraz","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
98,30,Blood Donation Drive,2021-05-02,"Cultural Center, Karaganda","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
99,261,Fundraising Gala,2020-05-18,"Town Square, Kyzylorda","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
100,22,Entrepreneurship Workshop,2021-07-26,"University Auditorium, Taraz","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
101,126,Voter Registration Drive,2022-06-15,"NGO Office, Shymkent","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
102,42,Youth Leadership Summit,2020-01-09,"Sports Complex, Aktobe","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
103,185,Book Donation Drive,2022-01-24,"University Auditorium, Taraz","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
104,246,Tree Planting Campaign,2021-04-13,"NGO Office, Astana","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
105,261,Anti-Trafficking Campaign,2022-10-22,"Sports Complex, Pavlodar","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
106,93,Charity Concert,2021-09-04,"NGO Office, Semey","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
107,94,Skills Training Session,2021-02-28,"Public Park, Karaganda","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
108,53,Environmental Film Screening,2020-02-08,"Conference Hall, Kyzylorda","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
109,210,Technology Workshop,2020-03-16,"University Auditorium, Aktobe","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
110,35,Volunteer Orientation,2021-07-05,"City Hall, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
111,297,Medical Screening Camp,2021-05-13,"Cultural Center, Kyzylorda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
112,182,Food Distribution,2020-09-15,"Community Center, Astana","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
113,77,Anti-Trafficking Campaign,2022-03-09,"Town Square, Taraz","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
114,277,Youth Leadership Summit,2024-08-07,"Sports Complex, Pavlodar","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
115,154,Food Distribution,2024-02-15,"Sports Complex, Astana","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
116,217,Town Hall Meeting,2022-04-20,"Convention Center, Aktobe","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
117,244,Community Health Fair,2020-06-01,"Convention Center, Aktobe","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
118,221,Skills Training Session,2023-03-18,"NGO Office, Karaganda","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
119,113,Volunteer Orientation,2022-12-03,"Community Center, Atyrau","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
120,281,Career Fair,2022-10-13,"Public Park, Kyzylorda","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
121,42,Emergency Response Training,2024-11-17,"NGO Office, Oskemen","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
122,17,Blood Donation Drive,2022-05-04,"Town Square, Shymkent","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
123,199,Sports Tournament,2024-01-21,"University Auditorium, Astana","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
124,137,Financial Literacy Seminar,2022-11-23,"Conference Hall, Oskemen","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
125,89,Educational Seminar,2022-06-18,"University Auditorium, Kyzylorda","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
126,150,Legal Aid Clinic,2020-02-24,"Town Square, Pavlodar","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
127,298,Town Hall Meeting,2023-08-20,"City Hall, Karaganda","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
128,299,Technology Workshop,2020-05-14,"Public Park, Shymkent","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
129,279,Cultural Festival,2021-12-01,"University Auditorium, Kyzylorda","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
130,180,Medical Screening Camp,2023-02-09,"University Auditorium, Karaganda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
131,193,First Aid Training,2022-11-09,"Conference Hall, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
132,178,Medical Screening Camp,2020-04-25,"Community Center, Atyrau","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
133,239,Financial Literacy Seminar,2021-08-10,"Sports Complex, Almaty","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
134,88,Family Planning Seminar,2022-08-15,"University Auditorium, Atyrau","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
135,51,Anti-Trafficking Campaign,2023-08-01,"Cultural Center, Atyrau","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
136,293,Children's Day Celebration,2024-12-08,"Cultural Center, Oskemen","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
137,70,School Supply Distribution,2021-02-26,"Sports Complex, Kyzylorda","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
138,13,Blood Donation Drive,2021-09-09,"Convention Center, Karaganda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
139,259,Environmental Clean-Up,2023-06-21,"Sports Complex, Oral","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
140,220,Fundraising Gala,2020-06-08,"Community Center, Almaty","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
141,237,Renewable Energy Exhibition,2024-01-14,"Public Park, Oral","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
142,140,Public Health Lecture,2021-07-13,"Public Park, Aktobe","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
143,283,Senior Citizens Social,2022-06-01,"University Auditorium, Pavlodar","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
144,234,First Aid Training,2023-10-07,"Town Square, Aktau","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
145,110,Public Health Lecture,2021-05-27,"Convention Center, Kyzylorda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
146,74,Financial Literacy Seminar,2021-10-04,"Sports Complex, Semey","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
147,279,Medical Screening Camp,2020-03-21,"NGO Office, Kyzylorda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
148,256,Medical Screening Camp,2023-06-26,"Public Park, Kyzylorda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
149,263,Charity Concert,2022-02-14,"City Hall, Petropavl","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
150,143,Tree Planting Campaign,2020-09-22,"Conference Hall, Karaganda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
151,245,Women's Empowerment Conference,2020-09-12,"University Auditorium, Taraz","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
152,200,Career Fair,2020-05-28,"Sports Complex, Almaty","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
153,109,Blood Donation Drive,2021-02-04,"Convention Center, Aktobe","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
154,266,Scholarship Award Ceremony,2021-08-23,"Public Park, Kyzylorda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
155,278,Charity Concert,2020-01-01,"Community Center, Kostanay","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
156,80,Book Donation Drive,2022-05-26,"Cultural Center, Shymkent","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
157,134,School Supply Distribution,2021-02-03,"Conference Hall, Petropavl","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
158,235,Cultural Festival,2022-10-27,"NGO Office, Pavlodar","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
159,200,Town Hall Meeting,2021-02-02,"Community Center, Karaganda","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
160,28,Art Exhibition,2023-08-04,"Convention Center, Pavlodar","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
161,242,Agricultural Training,2020-04-12,"Public Park, Oral","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
162,70,Book Donation Drive,2023-10-04,"Public Park, Atyrau","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
163,286,Skills Training Session,2020-11-03,"Convention Center, Semey","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
164,262,Legal Aid Clinic,2023-09-01,"Community Center, Oskemen","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
165,166,Food Distribution,2022-12-23,"Conference Hall, Petropavl","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
166,250,Environmental Clean-Up,2024-07-19,"Cultural Center, Aktobe","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
167,77,Environmental Clean-Up,2020-05-06,"City Hall, Almaty","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
168,237,Sports Tournament,2024-12-28,"Community Center, Astana","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
169,175,Cooking Class,2021-07-15,"Conference Hall, Kostanay","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
170,3,Career Fair,2023-03-22,"NGO Office, Aktobe","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
171,247,Women's Empowerment Conference,2022-10-21,"Public Park, Oral","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
172,186,Environmental Clean-Up,2020-01-23,"University Auditorium, Kostanay","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
173,226,Cooking Class,2023-08-28,"City Hall, Aktobe","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
174,225,Family Planning Seminar,2022-08-25,"University Auditorium, Kostanay","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
175,235,Community Health Fair,2023-10-10,"University Auditorium, Almaty","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
176,122,Children's Day Celebration,2022-02-15,"City Hall, Aktobe","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
177,271,Renewable Energy Exhibition,2020-04-18,"Sports Complex, Pavlodar","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
178,105,Financial Literacy Seminar,2022-10-04,"Conference Hall, Oral","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
179,221,Anti-Trafficking Campaign,2020-11-12,"City Hall, Atyrau","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
180,41,Anti-Trafficking Campaign,2022-07-25,"Public Park, Atyrau","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
181,26,Skills Training Session,2021-07-28,"City Hall, Aktobe","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
182,59,Environmental Film Screening,2024-05-25,"NGO Office, Kostanay","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
183,239,Educational Seminar,2021-02-07,"Public Park, Pavlodar","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
184,33,Public Health Lecture,2021-03-03,"Town Square, Kostanay","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
185,105,Senior Citizens Social,2022-11-01,"Cultural Center, Karaganda","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
186,187,Food Distribution,2022-08-27,"University Auditorium, Karaganda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
187,164,Book Donation Drive,2024-12-15,"NGO Office, Pavlodar","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
188,205,Disaster Preparedness Drill,2022-04-14,"Town Square, Aktobe","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
189,81,Blood Donation Drive,2022-03-10,"Cultural Center, Almaty","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
190,72,Mental Health Workshop,2020-09-14,"Conference Hall, Oskemen","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
191,35,Agricultural Training,2022-08-20,"Conference Hall, Semey","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
192,126,Senior Citizens Social,2021-06-19,"Conference Hall, Atyrau","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
193,262,Medical Screening Camp,2023-01-25,"Sports Complex, Oskemen","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
194,50,Legal Aid Clinic,2022-08-24,"Conference Hall, Atyrau","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
195,39,Agricultural Training,2024-01-28,"Town Square, Aktobe","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
196,292,Anti-Trafficking Campaign,2020-11-13,"Conference Hall, Pavlodar","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
197,73,Blood Donation Drive,2024-12-04,"Cultural Center, Karaganda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
198,166,Senior Citizens Social,2023-01-07,"Town Square, Pavlodar","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
199,132,Educational Seminar,2022-11-28,"NGO Office, Taraz","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
200,178,Blood Donation Drive,2024-09-25,"Convention Center, Karaganda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
201,30,Book Donation Drive,2020-12-12,"Conference Hall, Aktau","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
202,275,Blood Donation Drive,2024-12-21,"Sports Complex, Semey","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
203,110,Sports Tournament,2023-08-24,"University Auditorium, Shymkent","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
204,255,Environmental Film Screening,2021-09-26,"Sports Complex, Aktobe","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
205,222,Legal Aid Clinic,2020-03-07,"Public Park, Kyzylorda","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
206,105,Environmental Film Screening,2023-03-06,"Cultural Center, Shymkent","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
